laag	vaknr	vaknaam	vakafkorting	nr	periode	leerstofomschrijving	weging VD	afname	afwijkende hulpmiddelen / bijzonderheden	duur	SE?	weging SE	herkans-baar?	verplichte SE-domeinen
4M	10	Nederlands	NE	1	1	Fictie 	0	tt	Woordenboek niet toegestaan	50	Ja	1	Ja	NE/K/1, NE/K/3, NE/K/8
4M	10	Nederlands	NE	2	1	Leesvaardigheid	0	tt	0	100	Ja	2	Ja	NE/K/6
4M	10	Nederlands	NE	3	2	Kijk- en luistervaardigheid	0	lt	0	100	Ja	2	Nee	NE/K/4
4M	10	Nederlands	NE	4	2	Schrijfvaardigheid	0	tt	0	50	Ja	2	Ja	NE/K/1, NE/K/3, NE/K/7, NE/V/2, NE/V/3
4M	10	Nederlands	NE	5	3	Spreekvaardigheid	0	mt	0	15	Ja	1	Nee	NE/K/2/, NE/K/5, NE/K/8, NE/V/1
4M	10	Nederlands	NE	6	3	Fictiedossier	0	hd	0	0	Nee	0	Nee	NE/K/7, NE/K/8, NE/V/1, NE/V/2, NE/V/3
4M	10	Nederlands	0	7	0	0	0	0	0	0	0	0	0	0
4H	10	Nederlands	NE	1	1	Schrijven recensie, betoog met uiteenzettende elementen, (boek 1) inclusief verhaalanalyse	2	po	Het gelezen werk en een ingevuld bouwplan	100	Ja	5	Nee	C,  E
4H	10	Nederlands	NE	2	2	literatuurgeschiedenis	2	po	0	0	Nee	0	0	0
4H	10	Nederlands	NE	3	3	Presenteren en literatuur: duopresentatie over een literair werk (boek 2).	2	mt	0	15	Ja	15	Nee	B, E
4H	10	Nederlands	NE	4	3	lezen en argumenteren	2	tt	0	50	Nee	0	0	0
4H	10	Nederlands	NE	5	4	argumenteren en debat	2	mt	0	50	Nee	0	0	0
4H	10	Nederlands	NE	6	4	Een opdracht over twee literaire werken die gekozen worden uit de verplichte lijst voor havo 4 (boek 3 en 4).	2	po	Woordenboek niet toegestaan, geen gelezen werken	100	Ja	10	Nee	F
4H	10	Nederlands	0	7	0	0	0	0	0	0	0	0	0	0
5H	10	Nederlands	NE	1	1	Formuleren en spellen	0	tt	Woordenboek niet toegestaan	100	Ja	15	Ja	C
5H	10	Nederlands	NE	2	2	Tekstanalyse en argumenteren	0	tt	0	100	Ja	20	Ja	A, D
5H	10	Nederlands	NE	3	3	Beschouwing op basis van een dossier. Het volledige dossier moet op een nader te bepalen tijdstip persoonlijk overhandigd worden aan de docent. Levert een leerling van tevoren geen dossier in, of op de dag van het SE, dan is het maximaal te behalen cijfer een 4,0.	0	po	Tekstverwerker met spellingcontrole	100	Ja	20	Nee	B, F
5H	10	Nederlands	NE	4	3	Mondeling literatuur, over vier gelezen moderne werken vanaf 1940 op basis van een dossier. Het volledige dossier moet op een nader te bepalen tijdstip persoonlijk overhandigd worden aan de docent. Levert een leerling van tevoren geen leesdossier in, of op de dag van het mondeling, dan is het maximaal te behalen cijfer een 4,0.	0	mt	Woordenboek niet toegestaan	50	Ja	15	Nee	E
5H	10	Nederlands	NE	5	0	0	0	0	0	0	0	0	0	0
5H	10	Nederlands	NE	6	0	0	0	0	0	0	0	0	0	0
5H	10	Nederlands	0	7	0	0	0	0	0	0	0	0	0	0
4A	10	Nederlands	NE	1	1	creatief schrijven, inclusief verhaalanalyse	1	po	0	50	Nee	0	0	0
4A	10	Nederlands	NE	2	1	literatuurgeschiedenis, inclusief een historisch werk	2	tt	Woordenboek niet toegestaan	50	Nee	0	0	0
4A	10	Nederlands	NE	3	2	project rechtbank, schrijven betoog	2	po	0	100	Nee	0	0	0
4A	10	Nederlands	NE	4	3	leesvaardigheid	2	tt	0	100	Nee	0	0	0
4A	10	Nederlands	NE	5	4	argumenteren en debat	2	mt	0	50	Nee	0	0	0
4A	10	Nederlands	NE	6	4	Opdracht bij 3 moderne werken, periode 1940 tot heden	2	po	Woordenboek en gelezen werken niet toegestaan	100	Ja	5	Nee	E
4A	10	Nederlands	0	7	0	0	0	0	0	0	0	0	0	0
5A	10	Nederlands	NE	1	1	tekstverklaring en argumenteren	2	tt	0	100	Nee	0	0	0
5A	10	Nederlands	NE	2	2	proza en poëzie	2	tt	Woordenboek niet toegestaan	100	Nee	0	0	0
5A	10	Nederlands	NE	3	2	project	2	po	0	0	Nee	0	0	0
5A	10	Nederlands	NE	4	3	literatuurgeschiedenis	2	tt	Woordenboek niet toegestaan	50	Nee	0	0	0
