laag	vak	nr	per	leerstof	kerndoelen	weging	afname	samen met
1A	AK	1	1	Hoofdstuk 1 - Canada dichtbij en veraf  	kerndoelen onderbouw:  hst 1: 38, 41                                      	2	toets	0
1A	AK	2	1	Hoofdstuk 2 - Landschapzones op aarde 	kerndoel onderbouw hst 2: 29, 31 	2	toets	0
1A	AK	3	2	Hoofdstuk 3 - Zuidoost Azië, cultuur en ontwikkeling                          	kerndoelen onderbouw:  hst 3: 46                                           	2	toets	0
1A	AK	4	2	Hoofdstuk 6 - Nederland in de wereld 	kerndoel onderbouw hst 6: 38, 45	2	toets	0
1A	AK	5	3	Hoofdstuk 5 en 7 klimaat en natuurlandschappen in Europa - natuurrampen in Japan 	 kerndoelen onderbouw: hst 5 en 7: 29, 30, 31 	2	toets	0
1A	AK	6	4	Project eigen wijk hoofdstuk 4	kerndoelen onderbouw: hst 4: 36, 42, 43	1	PO	0
1HA	AK	1	1	Hoofdstuk 1 - Canada dichtbij en veraf  	kerndoelen onderbouw:  hst 1: 38, 41                                      	2	toets	0
1HA	AK	2	1	Hoofdstuk 2 - Landschapzones op aarde 	kerndoel onderbouw hst 2: 29, 31 	2	toets	0
1HA	AK	3	2	Hoofdstuk 3 - Zuidoost Azië, cultuur en  ontwikkeling                          	kerndoelen onderbouw:  hst 3: 46                                           	2	toets	0
1HA	AK	4	2	Hoofdstuk 6 - Nederland in de wereld 	kerndoel onderbouw hst 6: 38, 45	2	toets	0
1HA	AK	5	3	Hoofdstuk 5 en 7 klimaat en natuurlandschappen in Europa - natuurrampen in Japan 	 kerndoelen onderbouw: hst 5 en 7: 29, 30, 31 	2	toets	0
1HA	AK	6	4	Project eigen wijk hoofdstuk 4	kerndoelen onderbouw: hst 4: 36, 42, 43	1	PO	0
1MH	AK	1	1	Hoofdstuk 1 - Canada dichtbij en veraf  	kerndoelen onderbouw:  hst 1: 38, 41                                      	2	toets	0
1MH	AK	2	1	Hoofdstuk 2 - Landschapzones op aarde 	kerndoel onderbouw hst 2: 29, 31 	2	toets	0
1MH	AK	3	2	Hoofdstuk 3 - Zuidoost Azië, cultuur en ontwikkeling                          	kerndoelen onderbouw:  hst 3: 46                                           	2	toets	0
1MH	AK	4	2	Hoofdstuk 6 - Nederland in de wereld 	kerndoel onderbouw hst 6: 38, 45	2	toets	0
1MH	AK	5	3	Hoofdstuk 5 en 7 klimaat en natuurlandschappen in Europa - natuurrampen in Japan 	 kerndoelen onderbouw: hst 5 en 7: 29, 30, 31 	2	toets	0
1MH	AK	6	4	Project eigen wijk hoofdstuk 4	kerndoelen onderbouw: hst 4: 36, 42, 43	1	PO	0
2A	AK	1	1	Hoofdstuk 1: Zuid-Afrika: een land met twee gezichten                        	kerndoelen onderbouw: 29, 38, 41, 46	2	toets	0
2A	AK	2	1	Hoofdstuk 2 De vorming van de Alpen	kerndoelen onderbouw: 29, 32, 41	2	toets	0
2A	AK	3	2	Hoofdstuk 4: Duitsland in het hart van Europa                                   	kerndoelen onderbouw: 41, 45, 46	2	toets	0
2A	AK	4	2	Hoofdstuk 6: Turkije: tussen Europa en Azië                      	kerndoelen onderbouw: 38, 41, 46	2	toets	0
2A	AK	5	3	Hoofdstuk 5: veranderend China + hoofdstuk 7: klimaat in de VS en India 	kerndoelen onderbouw: 29, 30, 31, 38, 41, 46	2	toets	0
2A	AK	6	4	Hoofdstuk 3: Nederland duurzaam: energie en water  	kerndoelen onderbouw: 30, 42	1	PO	0
2H	AK	1	1	Hoofdstuk 1: Zuid-Afrika: een land met twee gezichten                        	kerndoelen onderbouw: 29, 38, 41, 46	2	toets	0
2H	AK	2	1	Hoofdstuk 2 De vorming van de Alpen	kerndoelen onderbouw: 29, 32, 41	2	toets	0
2H	AK	3	2	Hoofdstuk 4: Duitsland in het hart van Europa                                   	kerndoelen onderbouw: 41, 45, 46	2	toets	0
